,preprocessed_Tokens,Scores
573,fr,-500
574,france,-340
575,france,-20
576,freng,-220
577,from,-500
578,from,-400
579,from,-60
580,frs,140
581,fs/01/01/10,-300
582,fs/01/01/10,-300
583,g,-291
584,gaardian,-220
585,gaydecki,40
586,gb13023064,60
587,gb13161211,60
588,ge,0
589,sellafieldsitescom,-340
590,germany,-500
591,germany,-20
592,gillin,-300
593,gillin,-300
594,glasgow,-1934
595,goodall,-1712
596,gottschalg,-1712
597,gr/s63045,-340
598,grant,-268
599,gre,-500
600,green,40
601,grenoble,-500
602,grobert,-268
603,gtac,-420
604,gurney,-244
605,gve,-300
606,gve,-300
607,h,-291
608,hall,-3132
609,harada,-220
610,hci,-220
611,hdd,0
612,healey,-291
613,health,-220
614,heif,-60
615,heif,-734
616,henry,-100
617,henshaw,-1712
618,henshaw,-1712
619,henshaw,-1712
620,here,-340
621,hesa,-300
622,hfe,-60
623,hidden,-220
624,high,-1712
625,howells,-460
626,htrc,-420
627,//bitly/18krtjg,-244
628,//bitly/ho0wcc,-244
629,//bitly/j5fkcp,-244
630,//cnmpagreacuk/,-500
631,//eprintssotonacuk,-460
632,//wwwglyndwracuk/en/ourresearch/researchcentres/universityresearchcentreforma,60
633,//wwwlightexpresssotonacuk/,-460
634,//wwwukesforg/scholarship-schemethe,40
635,//wwwwrexhamsfcom/,60
636,//www2greacuk/about/schools/engineering/research/groups/mwcrl,-500
637,//www3imperialacuk/corporatepartnerships/whoweworkwith,-2088
638,hu,-1712
639,huang,-3132
640,hull,140
641,i,-220
642,i,-420
643,i,140
644,i,-500
645,i,-3132
646,i,-244
647,i,-460
648,i,-400
649,i,0
650,i,-291
651,i,-291
652,i,-2088
653,ie,100
654,i2move,100
655,iaa,-220
656,iaa,-60
657,iab,-2068
658,iab,-3132
659,iab,-244
660,ibmm,-300
661,ibmm,-300
662,icoe,-3132
663,icon,-2088
664,icon,-300
665,icon,-300
666,icon,100
667,ics,-460
668,ict,-460
669,idb,-300
670,idb,-300
671,identified,-734
672,ierc,-400
673,iercs,-400
674,iercs,-400
675,iet,-1532
676,iet,0
677,ifls,-460
678,ii,-220
679,ii,-420
680,ii,140
681,ii,-500
682,ii,-3132
683,ii,-244
684,ii,-460
685,ii,-400
686,ii,0
687,ii,-291
688,ii,-2088
689,iii,-220
690,iii,-420
691,iii,140
692,iii,-500
693,iii,-3132
694,iii,-244
695,iii,-460
696,iii,-400
697,iii,0
698,iii,-291
699,iiitransfer,-2088
700,iii,-1712
701,ilf,-300
702,;,-100
703,iml,-244
704,impact,-268
705,impact,-400
706,improved,-244
707,in,-220
708,in,140
709,in,-340
710,in,-100
711,in,-400
712,in,-140
713,in,0
714,in,-300
715,in,-291
716,in,-1532
717,including,-220
718,including,-340
719,including,-3132
720,including,-268
721,including,-244
722,including,-400
723,including,0
724,including,1669
725,including,-300
726,including,-1712
727,including,-100
728,including,-60
729,india,-60
730,indianapolis,-400
731,infineon,-100
732,initial,-60
733,initially,-2068
734,inovation,-1532
735,instmc,-1712
736,intelesens,0
737,intelligent,-44
738,investigating,-500
739,investni,0
740,involves,-1712
741,iop,-400
742,iop,-268
743,ip,-400
744,ip,-220
745,;,-44
746,ipdm,-60
747,ipo/13118625,-300
748,ir,-60
749,irc,-420
750,isic,-244
751,isn,100
752,iul,0
753,iv,-220
754,iv,-420
755,iv,140
756,iv,-500
757,iv,-3132
758,iv,-244
759,iv,-460
760,iv,-400
761,iv,0
762,iv,-291
763,ivtransfer,-2088
764,j,-291
765,japan,-500
766,jaxa,-500
767,jointly,-400
768,k,-291
769,k2,-44
770,kalawsky,-1712
771,keithley,-100
772,kev,-20
773,kevin,100
774,kirkland,-268
775,knowledge,-244
776,knowledge,-1712
777,krause,-300
778,krause,-300
779,krause,-300
780,kt,40
781,kt,1669
782,kta,-220
783,kta,-100
784,kta,-140
785,kta,-60
786,ktc,-244
787,ktf,140
788,ktn,-300
789,ktn,-268
790,ktp,-100
791,ktp,-300
792,ktp,-300
793,ktp,-60
794,ktp,-1712
795,ktp,-60
796,ktp,-300
797,ktp,-300
798,ktp-like,0
799,ktps,-220
800,ktps,-3132
801,ktps,-100
802,ktps,-244
803,ktps,-140
804,ktps,-60
805,ktps,-44
806,ktps,-2088
807,ktps,60
808,l,-291
809,lanzon,40
810,last,-300
811,last,-300
812,later,-340
813,latest2,-100
814,lcn,-1932
815,lead,-244
816,led,-291
817,lep,-220
818,lewis,-460
819,like,-44
820,listed,1669
821,livestock,-400
822,lockheed-martin,-1932
823,london,-220
824,btcom,-340
825,luton,-220
826,main,-1712
827,mainly,-60
828,maintaining,-220
829,managed,40
830,manchester,-60
831,map,-400
832,mar,140
833,marrow,-268
834,mass,0
835,mat,-291
836,match,0
837,materials,-2088
838,matrix,0
839,matseec,-2088
840,mccourt,-460
841,mceneaney,0
842,mcip,0
843,mclaughlin,0
844,mcrl1-3,-420
845,mcrl7-9,-420
846,mcrls,-420
847,mds,-220
848,meeting,-734
849,member,-1712
850,chu,1669
851,ukbpcom,-340
852,michelson,-220
853,microelectronics,40
854,microwave,40
855,midas,-220
856,milanovic,40
857,;,-291
858,months,-300
859,mosi,40
860,:,-100
861,mpc,-100
862,chu,-300
863,mse,-734
864,mta,-100
865,mtc,-420
866,mtds,-3132
867,multinational,-268
868,mvce,-140
869,mxif,-100
870,n2p,-3266
871,national,-400
872,nccef,-100
873,ncr,-500
874,nda,-734
875,ndic,-1712
876,netherlands,-340
877,network,-220
