,preprocessed_Tokens,Scores
20893,makers,-460
20894,makers,0
20895,makers,1669
20896,makers,40
20897,makers,-244
20898,makers,1669
20899,makers,-244
20900,:,-268
20901,makes,-3266
20902,makes,-400
20903,makes,-20
20904,makes,-100
20905,makes,60
20906,making,-1932
20907,making,140
20908,making,140
20909,making,-3266
20910,making,-220
20911,making,-400
20912,making,-20
20913,making,-291
20914,making,-100
20915,making,-500
20916,:,-291
20917,;,1669
20918,malawi,-400
20919,malaya,-268
20920,malaysia,-340
20921,mallik,-500
20922,malvern,-1532
20923,malware,-60
20924,man,-268
20925,manage,-220
20926,manage,40
20927,manage,-44
20928,manage,-460
20929,manage,-140
20930,manage,0
20931,manage,-1712
20932,managed,-100
20933,managed,40
20934,managed,40
20935,managed,-268
20936,managed,-44
20937,managed,-734
20938,managed,-400
20939,managed,-1712
20940,managed,-300
20941,managed,-300
20942,;,-3266
20943,management,-220
20944,management,-220
20945,management,-220
20946,management,-340
20947,management,-3132
20948,management,-100
20949,management,40
20950,management,-44
20951,management,-244
20952,management,-220
20953,management,-734
20954,management,-460
20955,management,-400
20956,management,-140
20957,management,0
20958,management,1669
20959,management,1669
20960,management,-300
20961,management,-300
20962,management,-1712
20963,management,-1712
20964,management,100
20965,management,-60
20966,management,-1932
20967,management,-500
20968,management,-400
20969,management,-2088
20970,management,-734
20971,management,-291
20972,management,-2088
20973,management,-2088
20974,management,-1532
20975,;,-734
20976,;,-140
20977,;,-291
20978,manager,140
20979,manager,140
20980,manager,-500
20981,manager,40
20982,manager,-220
20983,manager,-734
20984,manager,-734
20985,manager,-460
20986,manager,-140
20987,manager,-300
20988,manager,-1712
20989,manager,-60
20990,manager,-2088
20991,manager,-1532
20992,manager,-300
20993,manager,-300
20994,manager,-268
20995,managers,-340
20996,managers,40
20997,managers,-3266
20998,managers,-300
20999,managers,-1712
21000,managers,100
21001,managers,-300
21002,managers,-300
21003,managers,-340
21004,managers,-60
21005,manages,-1932
21006,manages,40
21007,manages,-460
21008,manages,-291
21009,managing,-268
21010,managing,-44
21011,managing,-400
21012,manchester,-340
21013,manchester,-100
21014,manchester,40
21015,manchester,40
21016,manchester,-268
21017,manchester,-3266
21018,manchester,-100
21019,manchester,40
21020,manchester,-20
21021,manchester-diamond,-100
21022,mandeville,-734
21023,mandeville,-734
21024,chu,1669
21025,mangers,-220
21026,mangers,-60
21027,manner,-420
21028,manner,-60
21029,manner,-1932
21030,mannheim,100
21031,manor,-460
21032,manpower,-420
21033,manpower,-140
21034,mantis,-2088
21035,manufacture,-420
21036,manufacture,140
21037,manufacture,-734
21038,manufacture,-60
21039,manufacture,100
21040,manufacture,60
21041,manufacture,-60
21042,manufacture,-60
21043,manufacture,-300
21044,manufacture,-300
21045,manufacture,-340
21046,manufacture,60
21047,manufacture,-400
21048,manufactured,-244
21049,manufactured,-400
21050,manufacturer,-220
21051,manufacturer,-300
21052,manufacturer,-300
21053,manufacturers,-220
21054,manufacturers,-100
21055,manufacturers,100
21056,manufacturers,60
21057,manufacturers,-340
21058,manufacturers,-60
21059,manufacturing,-420
21060,manufacturing,-420
21061,manufacturing,-500
21062,manufacturing,-268
21063,manufacturing,-3266
21064,manufacturing,-734
21065,manufacturing,-734
21066,manufacturing,-460
21067,manufacturing,-140
21068,manufacturing,0
21069,manufacturing,-60
21070,manufacturing,60
21071,manufacturing,60
21072,manufacturing,-60
21073,manufacturing,-300
21074,manufacturing,-300
21075,manufacturing,40
21076,manufacturing,-734
21077,manufacturing,-300
21078,manufacturing,-300
21079,manufacturing,-420
21080,manufacturing,-500
21081,manufacturing,-100
21082,manufacturing,-100
21083,manufacturing,-734
21084,manufacturing,-140
21085,manufacturinghuo,-420
21086,many,-2068
21087,many,-1932
21088,many,-220
21089,many,-420
21090,many,140
21091,many,-500
21092,many,-500
21093,many,-340
21094,many,-100
21095,many,40
21096,many,40
21097,many,-268
21098,many,-44
21099,many,-244
21100,many,-3266
21101,many,-220
21102,many,-460
21103,many,-400
21104,many,-140
21105,many,-1934
21106,many,0
21107,many,1669
21108,many,1669
21109,many,-300
21110,many,-60
21111,many,-291
21112,many,-1712
21113,many,-60
21114,many,-60
21115,many,-2088
21116,many,100
21117,many,100
21118,many,-60
21119,many,-300
21120,many,-300
21121,many,-1532
21122,many,-1532
21123,mapping,-220
21124,maps,-60
21125,mar,-500
21126,march,140
21127,march,-268
21128,march,-44
21129,march,-460
21130,mare,-3266
21131,margin,1669
21132,marie,-60
21133,marie,-1532
21134,marine,-1932
21135,marine,-460
21136,marine,-1934
21137,;,-140
21138,maritime,-460
21139,markedly,-420
21140,market,-220
21141,market,140
21142,market,-500
21143,market,-340
21144,market,-268
21145,market,-44
21146,market,-3266
21147,market,-220
21148,market,-734
21149,market,-460
21150,market,-460
21151,market,-1934
21152,market,0
21153,market,-60
21154,market,-60
21155,market,-2088
21156,market,100
21157,market,100
21158,market,60
21159,market,60
21160,market-,0
21161,market,-1932
21162,market,-3266
21163,market,-734
21164,market,-1932
21165,market,-268
21166,market,-220
21167,market,-140
21168,;,-291
21169,;,-60
21170,marketed,-3132
21171,marketed,-100
21172,marketed,-300
21173,marketed,-100
21174,marketing,-1932
21175,marketing,-460
21176,marketing,-140
21177,marketing,0
21178,marketing,-60
21179,marketing,-60
21180,marketing,-300
21181,marketing,-300
21182,markets,40
21183,markets,-3266
21184,markets,-60
21185,markets,-60
21186,markets,40
21187,markets,-3266
21188,markets,-60
21189,;,-734
21190,marking,-400
21191,spencer,60
21192,marrow,-268
21193,mars,-460
21194,mars,100
21195,marshall,-3132
21196,marshall,-3132
21197,marshall,-3132
21198,marsland,-3132
21199,as,100
21200,martel,-60
21201,martin,-220
21202,martin,-1712
21203,martin,-220
21204,marvin,-2068
21205,marvin/dawson,-2068
21206,mary,-300
21207,mary,-291
21208,chu,-300
21209,chu,100
21210,maser,-2088
21211,maser,-2088
21212,masers,-2088
21213,masks,-300
21214,mass,-420
21215,mass,-340
21216,mass,-3266
21217,mass,-400
21218,mass,0
21219,mass,-60
21220,mass,-1532
21221,mass,-340
21222,mast,-3132
21223,masters,-1712
21224,masts,-1532
21225,match,-44
21226,match,-220
21227,match,-140
21228,match,0
21229,matched,-734
21230,matched,-460
21231,matched,-140
21232,matched-funded,-20
21233,matcher,-734
21234,;,-734
21235,matching,-100
21236,matching,-140
21237,matching,-1532
21238,funding,1669
21239,material,-220
21240,material,140
21241,material,-268
21242,material,-268
21243,material,-44
21244,material,-220
21245,material,-1712
21246,material,-100
21247,material,-60
21248,material,-300
21249,material,-300
21250,material,-44
21251,material,-44
21252,;,-460
21253,materials,-2068
21254,materials,-2068
21255,materials,-1932
21256,materials,-220
21257,materials,-220
21258,materials,-420
21259,materials,-420
21260,materials,140
21261,materials,140
21262,materials,140
21263,materials,140
21264,materials,-500
21265,materials,-500
21266,materials,-340
21267,materials,-3132
21268,materials,-100
21269,materials,-100
21270,materials,40
21271,materials,-268
21272,materials,-268
21273,materials,-3266
21274,materials,-3266
21275,materials,-220
21276,materials,-734
21277,materials,-734
21278,materials,-460
21279,materials,-460
21280,materials,-400
21281,materials,-140
21282,materials,-140
21283,materials,0
21284,materials,0
21285,materials,1669
21286,materials,1669
21287,materials,-300
21288,materials,-300
21289,materials,-20
21290,materials,-20
21291,materials,-291
21292,materials,-1712
21293,materials,-100
21294,materials,-100
21295,materials,-60
21296,materials,-60
21297,materials,-2088
21298,materials,-2088
21299,materials,60
21300,materials,60
21301,materials,-60
21302,materials,-60
21303,materials,-300
21304,materials,-300
21305,materials,-300
21306,materials,-300
21307,materials,-1532
21308,materials,-44
21309,materials,-420
21310,materials,140
21311,materials,140
21312,materials,-100
21313,materials,-3266
21314,materials,-734
21315,materials,-734
21316,materials,-460
21317,materials,-140
21318,materials,-140
21319,materials,-1934
21320,materials,0
21321,materials,-300
21322,materials,-100
21323,materials,60
21324,materials,-60
21325,materials,-300
21326,materials,-300
21327,materials,-2068
21328,materials,-420
21329,materials,-500
21330,materials,-100
21331,materials,-100
21332,materials,-3266
21333,materials,-140
21334,materials,-300
21335,materials,-2088
21336,materials,-2088
21337,materials,-300
21338,materials,-300
21339,materials/processes,-420
21340,:,-220
21341,;,-420
21342,;,140
21343,;,-100
21344,materials-based,140
21345,materials-intensive,-268
21346,materialshuo,-420
21347,research,-420
21348,maternity,-44
21349,mathematical,-500
21350,mathematical,-291
21351,mathematical,100
21352,mathematical,-60
21353,:,-291
21354,maths,-268
21355,mathworks,-400
21356,matrix,-500
21357,matseec,-2088
21358,williams1com,-220
21359,homeofficegsigovuk,-340
21360,matthey,-20
21361,matthey,-500
21362,maturation,-420
21363,mature,-420
21364,mature,-300
21365,mature,-60
21366,mature,-60
21367,riaux,-734
21368,maxeler,-60
21369,maxeler,100
21370,maxeler,100
21371,maximal,-244
21372,maximise,-2068
21373,maximise,-1932
21374,maximise,-460
21375,maximise,-300
21376,maximise,-291
21377,maximise,-1712
21378,maximise,-100
21379,maximise,-60
21380,maximise,-60
21381,maximise,60
21382,maximise,-1532
21383,maximise,-1932
21384,maximised,-100
21385,maximised,0
21386,maximises,-3132
21387,maximises,1669
21388,maximising,-1932
21389,maximising,-460
21390,maximising,-100
21391,maximising,-2088
21392,maximising,100
21393,maximize,-1932
21394,maximize,-60
21395,maximum,0
21396,maximum,-300
21397,maximum,-1712
21398,maximum,-60
21399,maximum,100
21400,maxwell,140
21401,may,140
21402,may,140
21403,may,-100
21404,may,40
21405,may,-460
21406,may,-460
21407,may,-140
21408,may,0
21409,may,-1712
21410,may,100
21411,may,-60
21412,may,-300
21413,may,-300
21414,may,-1532
21415,may,-1532
21416,may/june,-100
21417,mayor,-291
21418,mbc,-3132
21419,mbda,-1712
21420,mcafee,-60
21421,mcafee,-60
21422,mccrindle,-244
21423,mcdonald,-400
21424,mcgoglan,0
21425,mclean,-2088
21426,mcowan,-291
21427,mcowans,-291
21428,chu,-291
21429,mcrl1-9,-420
21430,mcrl4-6,-420
21431,mcrls,-420
21432,mcrobert,-60
21433,mcs,40
21434,md,140
21435,mds,-220
21436,me,-244
21437,meaningful,-2068
21438,means,-1932
21439,means,140
21440,means,-44
21441,means,-220
21442,means,-460
21443,means,-1712
21444,means,-2088
21445,means,-300
21446,means,-300
21447,meansacademic,60
21448,meas-,-340
21449,measure,60
21450,measure,-60
21451,measurement,-2068
21452,measurement,-500
21453,measurement,-244
21454,measurement,-400
21455,measurement,-20
21456,measurement,-20
21457,measurement,-1712
21458,measurement,-1712
21459,measurement,-100
21460,measurement,60
21461,measurement,-220
21462,measurement,-20
21463,measurement,-20
21464,measurements,-220
21465,measurements,-3132
21466,measurements,40
21467,measurements,-20
21468,measurements,-20
21469,measurements,-220
21470,measurements,-20
21471,measures,-100
21472,measures,-44
21473,measures,-220
21474,measures,-1712
21475,measuring,-2068
21476,measuring,-291
21477,meat,-400
21478,mechanical,-420
21479,mechanical,-60
21480,mechanical,-60
21481,mechanics,-500
21482,mechanics,-140
21483,mechanics,40
21484,mechanism,-2068
21485,mechanism,-220
21486,mechanism,-420
21487,mechanism,140
21488,mechanism,-3132
21489,mechanism,-100
21490,mechanism,-268
21491,mechanism,-44
21492,mechanism,-220
21493,mechanism,-460
21494,mechanism,-140
21495,mechanism,-60
21496,mechanism,-60
21497,mechanism,-220
21498,:,-2088
21499,mechanisms,-2068
21500,mechanisms,-1932
21501,mechanisms,-220
21502,mechanisms,-420
21503,mechanisms,-340
21504,mechanisms,-3132
21505,mechanisms,-100
21506,mechanisms,40
21507,mechanisms,-734
21508,mechanisms,-734
21509,mechanisms,-460
21510,mechanisms,-400
21511,mechanisms,-400
21512,mechanisms,-140
21513,mechanisms,1669
21514,mechanisms,-300
21515,mechanisms,-60
21516,mechanisms,-100
21517,mechanisms,-60
21518,mechanisms,-2088
21519,mechanisms,100
21520,mechanisms,60
21521,mechanisms,60
21522,mechanisms,-60
21523,mechanisms,-1532
21524,mechanisms,-734
21525,mechanisms,-100
21526,mechanisms,-100
21527,mechanisms,-244
21528,:,-291
21529,mecrow,-60
21530,medal,-291
21531,medal,-220
21532,media,-1932
21533,media,-220
21534,media,-340
21535,media,-100
21536,media,40
21537,media,-244
21538,media,-734
21539,media,-460
21540,media,-140
21541,media,-1934
21542,media,0
21543,media,-60
21544,media,-291
21545,media,-291
21546,media,-2088
21547,media,-2088
21548,media,-1932
21549,media,-340
21550,media,-268
21551,media,-244
21552,media,-460
21553,media,-140
21554,media,-44
21555,media,1669
21556,media,-291
21557,medical,-2068
21558,medical,-1932
21559,medical,-220
21560,medical,140
21561,medical,140
21562,medical,-340
21563,medical,-340
21564,medical,-3132
21565,medical,-44
21566,medical,-244
21567,medical,-244
21568,medical,-460
21569,medical,-400
21570,medical,0
21571,medical,-60
21572,medical,-291
21573,medical,-291
21574,medical,-60
21575,medical,100
21576,medical,100
21577,medical,60
21578,medical,-60
21579,medical,-60
21580,medical,-300
21581,medical,-300
21582,medical,-1532
21583,medici,-220
21584,medicine,140
21585,medicine,-100
21586,medicine,-100
21587,medicine,-100
21588,medicine,-2068
21589,medicine,-340
21590,medicine,-2088
21591,medium,140
21592,medium,-60
21593,medium,-500
21594,medium,-60
21595,mediwise,-291
21596,medtech,-268
21597,chu,0
21598,meet,140
21599,meet,-44
21600,meet,-244
21601,meet,-734
21602,meet,-300
21603,meet,-60
21604,meet,-2088
21605,meet,100
21606,meet,-300
21607,meet,-300
21608,meet,-1532
21609,meeting,-2068
21610,meeting,-3266
21611,meeting,-140
21612,meeting,-1712
21613,meeting,-1532
21614,meeting,100
21615,meetings,-2068
21616,meetings,-3132
21617,meetings,40
21618,meetings,-268
21619,meetings,-268
21620,meetings,-44
21621,meetings,-300
21622,meetings,-1712
21623,meetings,-100
21624,meetings,-60
21625,meetings,-2068
21626,meetings,-460
21627,meetings,-100
21628,meetings,-60
21629,meetings,-100
21630,;,-100
21631,meets,-340
21632,meets,-44
21633,meets,-244
21634,meets,-1712
21635,meets,-2088
21636,meets,100
21637,megapixel,-244
21638,meggitt,-460
21639,meggitt,-300
21640,mellon,-60
21641,mellon,-60
21642,melt,-500
21643,melting,-420
21644,melting,-500
21645,melting,-500
21646,melts,-500
21647,member,-1932
21648,member,-220
21649,member,-220
21650,member,40
21651,member,40
21652,member,-244
21653,member,-1934
21654,member,-300
21655,member,-60
21656,member,-20
21657,member,-100
21658,member,-2088
21659,member,60
21660,member,-300
21661,member,-300
21662,members,-2068
21663,members,-2068
21664,members,-1932
21665,members,-220
21666,members,-420
21667,members,-3132
21668,members,-100
21669,members,-100
21670,members,-268
21671,members,-268
21672,members,-44
21673,members,-244
21674,members,-734
21675,members,0
21676,members,1669
21677,members,-60
21678,members,-291
21679,members,-1712
21680,members,-100
21681,members,-2088
21682,members,100
21683,members,0
21684,members,-2068
21685,members,-2088
21686,membership,-2068
21687,membership,-1932
21688,membership,-220
21689,membership,-268
21690,membership,-244
21691,membership,-60
21692,membership,-60
21693,membership,-2068
21694,;,40
21695,membrane,140
21696,membranes,-300
21697,memorandum,-140
21698,memories,-100
21699,memory,-291
21700,memory,-100
21701,memory,-100
21702,memristors,-1932
21703,meng,-44
21704,meng,-60
21705,mentor,-220
21706,mentor,0
21707,mentor,-60
21708,mentored,-220
21709,mentored,-1532
21710,mentoring,-1932
21711,mentoring,-220
21712,mentoring,-460
21713,mentoring,-140
21714,mentoring,0
21715,mentoring,-291
21716,mentoring,-1712
21717,mentoring,-2088
21718,mentoring,-220
21719,mentoring/training,0
21720,mentors,-2088
21721,mentors,-220
21722,mentorship,-3132
21723,mentorship,-60
21724,mep,-500
21725,meps,0
21726,mercer,140
21727,merck,-3132
21728,merck,-3132
21729,mercury,-734
21730,mere,-44
21731,merger,-140
21732,meri,1669
21733,meri-industry,1669
21734,merit,-2068
21735,chu,1669
21736,merseyside,-3132
21737,mesh,-420
21738,mesl,-60
21739,message,-60
21740,met,-220
21741,met,-60
21742,meta-,-3266
21743,metadata,-220
21744,metal,140
21745,metal,-268
21746,metal,0
21747,metal,-20
21748,metal,60
21749,metal,-300
21750,metal,-300
21751,metallic,-100
21752,metallic,-100
21753,metallic,-734
21754,metallic,-300
21755,metallurgical,-420
21756,metallurgy,-2068
21757,metallurgy,-1932
21758,metallurgy,-220
21759,metallurgy,-220
21760,metallurgy,-420
21761,metallurgy,140
21762,metallurgy,140
21763,metallurgy,-500
21764,metallurgy,-340
21765,metallurgy,-3132
21766,metallurgy,-44
21767,metallurgy,-3266
21768,metallurgy,-3266
21769,metallurgy,-220
21770,metallurgy,-460
21771,metallurgy,-400
21772,metallurgy,-140
21773,metallurgy,1669
21774,metallurgy,-300
21775,metallurgy,-20
21776,metallurgy,-291
21777,metallurgy,-1712
21778,metallurgy,-100
21779,metallurgy,-60
21780,metallurgy,-2088
21781,metallurgy,60
21782,metallurgy,-60
21783,metallurgy,-300
21784,metallurgy,-300
21785,metallurgy,-1532
21786,metallurgy,-2088
21787,metals,-420
21788,metals,-500
21789,metals,-20
21790,metals,140
21791,metals,-420
21792,:,140
21793,metamaterials,-460
21794,meta-materials,-3266
21795,meta-project,-244
21796,meteorology,-244
21797,meter,-100
21798,metering,-220
21799,meters,-220
21800,meters,-220
21801,method,-2068
21802,method,-500
21803,method,40
21804,method,-20
21805,method,-100
21806,method,-500
21807,method,-20
21808,methodologies,1669
21809,;,-220
21810,methods,-2068
21811,methods,140
21812,methods,-500
21813,methods,-100
21814,methods,-244
21815,methods,-400
21816,methods,-1934
21817,methods,-60
21818,methods,-20
21819,metre-scale,60
21820,metric,-3132
21821,:,-734
21822,metrics,-460
21823,metrics,-244
21824,metrology,-500
21825,metrology,-140
21826,metrology,60
21827,metrology,60
21828,metrology,-1532
21829,mgb2,140
21830,mha,-3132
21831,michael,-1712
21832,michelson,-734
21833,michigan,-244
21834,micro,-140
21835,micro-,1669
21836,micro-,-300
21837,micro,-400
21838,microbubble,-340
21839,micro-businesses,-300
21840,micro-businesses,-300
21841,microchip,-244
21842,microelectronic,-500
21843,microelectronics,-460
21844,microelectronics,-140
21845,microelectronics,-100
21846,microelectronics,-60
21847,microelectronics,-460
21848,microelectronics,-3132
21849,microengineering,-20
21850,microengineering,100
21851,microgels,-100
21852,micro-generation,-400
21853,microgravity,-500
21854,micromachining,-300
21855,micromachining,-300
21856,micro-machining,-300
21857,micro-machining,-300
21858,micro-machining,-300
21859,micro-machining,-300
21860,micromagnetic,-734
21861,micron,-100
21862,micro-projection,-400
21863,microsaic,100
21864,microsaic,100
21865,microscale,-1934
21866,microscopes,-300
21867,microscopy,140
21868,microscopy,-100
21869,microscopy,-220
21870,microscopy,-3266
21871,microsense,-60
21872,microshocks,40
21873,microsoft,-400
21874,microsoft,-60
21875,microsoft,-244
21876,microsoft,-400
21877,microspheres,-60
21878,micross,-500
21879,microstructure,1669
21880,microstructure,-2088
21881,microstructured,-460
21882,microstructures/properties,-420
21883,microsystems,-500
21884,microsystems,-400
21885,microsystems,-300
21886,microsystems,-300
21887,microsystems,-500
21888,microsystems,100
21889,microtec,-60
21890,micro-technologies,-460
21891,microtek,-2088
21892,microwave,-1932
21893,microwave,-1932
21894,microwave,-220
21895,microwave,-220
21896,microwave,-340
21897,microwave,-220
21898,microwave,-291
21899,microwave,-1712
21900,microwave,-2088
21901,microwave,60
21902,microwave,-60
21903,microwave,-60
21904,microwave,-60
21905,microwave/millimetre,-340
21906,microwaves,-300
21907,microwaves,-300
21908,mid-1980s,-340
21909,middle,-1932
21910,mid-ir,-400
21911,midlands,-220
21912,midlands,40
21913,midlands,-20
21914,midlands,-1532
21915,midsummer,-220
21916,mifsud,-460
21917,might,-60
21918,migrated,-140
21919,migration,-140
21920,migration,-2088
21921,mike,-60
21922,milan,100
21923,milanovic,40
21924,milestones,-291
21925,milestones,-340
21926,military,-220
21927,military,-3266
21928,military,-20
21929,military,-60
21930,millennium,1669
21931,million,-1932
21932,million,-460
21933,million,-291
21934,million,-2088
21935,million,100
21936,million,-44
21937,million,-1934
21938,millions,-60
21939,mimicking,-2088
21940,mind,-140
21941,mine,-400
21942,mini-grid,-400
21943,minimalist,-220
21944,mining,-220
21945,mining,140
21946,minister,-60
21947,ministers,-268
21948,ministries,1669
21949,ministry,140
21950,mirror,-460
21951,mirror,60
21952,mirror,-60
21953,missed,-340
21954,missiles,-420
21955,mission,-1932
21956,mission,140
21957,mission,-3132
21958,mission,-3132
21959,mission,-268
21960,mission,-244
21961,mission,-734
21962,mission,-400
21963,mission,100
21964,mission,-734
21965,mission,0
21966,mission,-60
21967,:,-2088
21968,:,100
21969,missions,-300
21970,missions,-300
21971,missous,40
21972,mi-swaco,60
21973,mitchell,-220
21974,mitigate,-734
21975,mitigation,-220
21976,mitigation,140
21977,mitrovic,-3132
21978,mitrovic,-3132
21979,mitsubishi,-20
21980,mitsubishi,-20
21981,mitsubishi,-2088
21982,chu,-60
21983,mix,100
21984,mixed,-500
21985,mixgenius,-291
21986,mixing,-291
21987,mixture,0
21988,mks,-3132
21989,mks-spectra,-3132
21990,mled,-400
21991,mmi,-340
21992,mmm,-734
21993,mobile,-2068
21994,mobile,-220
21995,mobile,-500
21996,mobile,-500
21997,mobile,-44
21998,mobile,-3266
21999,mobile,-220
22000,mobile,-400
22001,mobile,-140
22002,mobile,-140
22003,mobile,0
22004,mobile,-60
22005,mobility,-340
22006,mobility,-734
22007,mobility,-100
22008,;,-400
22009,mocvd,60
22010,mod,-220
22011,mod,-420
22012,mod,140
22013,mod,-3132
22014,mod,40
22015,mod,-244
22016,mod,1669
22017,mod,-1712
22018,mod,100
22019,mod,-220
22020,mod,-460
22021,mod,-20
22022,mod,100
22023,mod,-220
22024,mod,1669
22025,model,-500
22026,model,-3132
22027,model,-3266
22028,model,-400
22029,model,0
22030,model,-60
22031,model,-1712
22032,model,-60
22033,model,-2088
22034,model,100
22035,model,-291
22036,model,-60
22037,model,40
22038,model,-300
22039,modeled,-60
22040,modelled,-100
22041,modelling,-420
22042,modelling,140
22043,modelling,-500
22044,modelling,-500
22045,modelling,-3132
22046,modelling,40
22047,modelling,-268
22048,modelling,-220
22049,modelling,-734
22050,modelling,1669
22051,modelling,-300
22052,modelling,-60
22053,modelling,100
22054,;,-244
22055,modelling,-3266
22056,modelling/simulation,-420
22057,;,-420
22058,models,-420
22059,models,-500
22060,models,-3132
22061,models,-3266
22062,models,-220
22063,models,-291
22064,models,-2088
22065,models,-220
22066,models,-20
22067,models,140
22068,modelhuo,-400
22069,which,-300
22070,which,-300
22071,moderator,-3266
22072,moderators,-3266
22073,modern,-268
22074,modern,-734
22075,modes,-734
22076,modification,60
22077,modification,60
22078,modification,-60
22079,mod-sponsored,1669
22080,modular,100
22081,modulation,-220
22082,module,-268
22083,modules,-1712
22084,modulus,140
22085,molecular,-340
22086,molecular,40
22087,molecular,-20
22088,molecular,-60
22089,molecular,-300
22090,molecular,-300
22091,molecular-scale,-340
22092,molecule,140
22093,molecules,-340
22094,moment,-1934
22095,momentum,-3266
22096,money,-268
22097,money,-20
22098,monica,100
22099,monitor,-2068
22100,monitor,-1932
22101,monitor,40
22102,monitor,-44
22103,monitor,-220
22104,monitored,-2068
22105,monitored,-100
22106,monitoring,-340
22107,monitoring,-3132
22108,monitoring,-3132
22109,monitoring,-460
22110,monitoring,-400
22111,monitoring,-140
22112,monitoring,-140
22113,monitoring,-1934
22114,monitoring,-291
22115,monitoring,-1712
22116,monitoring,-60
22117,monitoring,-3132
22118,monitoring,-340
22119,monitoring,-400
22120,monitoring,-140
22121,monitoring,-1532
22122,monitoring,-2068
22123,monitoring,-400
22124,;,-400
22125,;,-400
22126,monitors,-100
22127,monoidics,-291
22128,monte,-3132
22129,month,1669
22130,monthly,-2068
22131,monthly,-244
22132,monthly,-60
22133,months,-220
22134,months,-244
22135,months,-291
22136,months,-100
22137,months,-734
22138,months,-1712
22139,moog,-100
22140,moor,60
22141,moores,-100
22142,chu,-140
22143,moram,-2088
22144,pgcom,-340
22145,more,-2068
22146,more,-1932
22147,more,-220
22148,more,-420
22149,more,-420
22150,more,140
22151,more,140
22152,more,-500
22153,more,-3132
22154,more,-100
22155,more,40
22156,more,-268
22157,more,-268
22158,more,-44
22159,more,-244
22160,more,-220
22161,more,-460
22162,more,-400
22163,more,-140
22164,more,-140
22165,more,-1934
22166,more,0
22167,more,1669
22168,more,1669
22169,more,-300
22170,more,-60
22171,more,-20
22172,more,-20
22173,more,-291
22174,more,-1712
22175,more,-100
22176,more,-60
22177,more,-2088
22178,more,100
22179,more,60
22180,more,-60
22181,more,-1532
22182,morgan,140
22183,morgan,-2088
22184,morgan,100
22185,morgan,60
22186,morgan,-2088
22187,morrisons,-400
22188,moseley,-100
22189,mosi,-100
22190,mosi,40
22191,mosi,-3266
22192,most,-220
22193,most,140
22194,most,40
22195,most,-44
22196,most,-220
22197,most,-460
22198,most,-400
22199,most,-140
22200,most,1669
22201,most,1669
22202,most,-60
22203,most,-20
22204,most,-100
22205,most,-60
22206,most,-2088
22207,most,100
22208,most,100
22209,mostly,140
22210,motor,140
22211,motor,-60
22212,motor,-300
22213,motor,-300
22214,motorola,-400
22215,motorola,40
22216,motorola,-400
22217,motorola,-220
22218,motors,-60
22219,:,-60
22220,direct,-60
22221,designs,-60
22222,filed,-60
22223,mott,-460
22224,mountbatten,-291
22225,move,-2068
22226,move,-140
22227,move,100
22228,move,-1532
22229,moved,-44
22230,moves,-460
22231,moves,-60
22232,moving,-220
22233,moving,-268
22234,moving,-60
22235,moving,-1532
22236,mpc,-100
22237,mphil,-400
22238,mpls,-268
22239,mr,-1932
22240,mrc,-340
22241,mrc,-100
22242,mreap,-400
22243,mri,140
22244,mri,-300
22245,mri,-300
22246,chu,-300
22247,mrs,-300
22248,mrs,-300
22249,msc,-220
22250,msc,40
22251,msc,-44
22252,msc,-291
22253,msc,-1532
22254,mse,-734
22255,mse,-140
22256,mse,-734
22257,mse,-734
22258,m-solv,-300
22259,m-squared,-400
22260,mtc,-420
22261,mtc,-420
22262,mtc,-420
22263,mtc,-420
22264,:,-420
22265,mti,40
22266,much,-420
22267,much,140
22268,much,-100
22269,much,-100
22270,much,-220
22271,much,-734
22272,much,-140
22273,much,-300
22274,much,-60
22275,much,-291
22276,muds,60
22277,was,-140
22278,multi,-400
22279,multi-,-500
22280,multi-,-460
22281,multi-band,-500
22282,multi-centred,-2068
22283,multidisciplinary,-100
22284,multidisciplinary,-100
22285,multidisciplinary,-460
22286,multidisciplinary,-460
22287,multidisciplinary,-400
22288,multidisciplinary,0
22289,multidisciplinary,0
22290,multidisciplinary,100
22291,multi-disciplinary,-400
22292,multi-disciplinary,-2088
22293,multi-faceted,-400
22294,multi-functional,-300
22295,multi-institution,-220
22296,multi-instrument,-20
22297,multi-lateral,-400
22298,multilayer,-244
22299,multilayer,1669
22300,multilayered,140
22301,multilevel,-100
22302,multimedia,-140
22303,multimedia,-140
22304,multi-million,140
22305,multi-million,-3132
22306,multi-million,-140
22307,multi-million-pound,-220
22308,multimodal,-220
22309,multi-motor,-100
22310,multinational,-220
22311,multinational,-3132
22312,multinational,-268
22313,multinational,-140
22314,multinational,100
22315,multi-national,-340
22316,multi-national,-100
22317,multi-national,-400
22318,multinationals,140
22319,multinationals,-268
22320,multinationals,-220
22321,multinationals,-460
22322,multinationals,-140
22323,multinationals,-300
22324,multi-nationals,-60
22325,multi-partner,-400
22326,multi-partner,-400
22327,multi-party,-220
22328,multiphase,-100
22329,multi-phase,-100
22330,multi-physics,-500
22331,multi-physics,-500
22332,multi-physics/multi-scale,-500
22333,multi-platform,-3132
22334,multiple,-400
22335,multiple,100
22336,multiple-input,-500
22337,multiple-output,-500
22338,multiplexed,-340
22339,multiplexinghuo,-500
22340,multi-stranded,-244
22341,multi-target,-291
22342,multi-university,-420
22343,multi-user,-500
